file,context,url,status,final_url,error
site-educenter/content/books/my-pet-sounds-off/_index.md,link,https://thecollapsar.org/the-collapsar-archive/2014/06/03/three-poems-by-holly-painter?rq=painter,200,https://thecollapsar.org/the-collapsar-archive/2014/06/03/three-poems-by-holly-painter?rq=painter,
site-educenter/content/books/my-pet-sounds-off/_index.md,link,https://www.amazon.com/My-Pet-Sounds-Off-Translating/dp/1646622057,200,https://www.amazon.com/My-Pet-Sounds-Off-Translating/dp/1646622057,
site-educenter/content/books/my-pet-sounds-off/_index.md,link,https://www.finishinglinepress.com/product/my-pet-sounds-off-translating-the-beach-boys-by-holly-painter/,200,https://www.finishinglinepress.com/product/my-pet-sounds-off-translating-the-beach-boys-by-holly-painter/,
site-educenter/content/books/my-pet-sounds-off/_index.md,link,https://www.penelopecray.com,200,https://www.penelopecray.com,
site-educenter/content/books/my-pet-sounds-off/_index.md,link,https://www.youtube.com/watch?v=fjAMwTYm48M,200,https://www.youtube.com/watch?v=fjAMwTYm48M,
site-educenter/content/books/obsolete-jobs-project/_index.md,link,https://obsoleteontheroad.wordpress.com/,200,https://obsoleteontheroad.wordpress.com/,
site-educenter/content/books/the-pressure-of-all-that-light/_index.md,link,https://emmaneale.wordpress.com/,200,https://emmaneale.wordpress.com/,
site-educenter/content/books/the-pressure-of-all-that-light/_index.md,link,https://rebelsatori.com/product/the-pressure-of-all-that-light/,200,https://rebelsatori.com/product/the-pressure-of-all-that-light/,
site-educenter/content/books/the-pressure-of-all-that-light/_index.md,link,https://www.amazon.com/Pressure-All-That-Light/dp/1608642100,200,https://www.amazon.com/Pressure-All-That-Light/dp/1608642100,
site-educenter/content/books/the-pressure-of-all-that-light/_index.md,link,https://www.megreynoldspoetry.com/,200,https://www.megreynoldspoetry.com/,
site-educenter/content/books/the-pressure-of-all-that-light/_index.md,link,https://www.theotherpaul.com/,200,https://www.theotherpaul.com/,
site-educenter/content/events/a-story-from-rumble-strip-and-celebrating-national-poetry-month-2004-04-22.md,raw,https://www.vermontpublic.org/show/vermont-edition/2024-04-22/a-story-from-rumble-strip-and-celebrating-national-poetry-month,200,https://www.vermontpublic.org/show/vermont-edition/2024-04-22/a-story-from-rumble-strip-and-celebrating-national-poetry-month,
site-educenter/content/events/book-launch-for-my-pet-sounds-off-translating-the-beach-boys-2020-07-16.md,raw,https://www.youtube.com/watch?v=fjAMwTYm48M,200,https://www.youtube.com/watch?v=fjAMwTYm48M,
